as_of,run_at,variant,equity,fwd_trades,fwd_return
2026-05-22,2026-05-23T21:00:07.132945+00:00,S1-baseline,2540.0,0,0.0
2026-05-22,2026-05-23T21:00:07.132945+00:00,S1-chopfix,2540.0,0,0.0
2026-05-22,2026-05-23T21:02:22.317070+00:00,S1-baseline,2540.0,0,0.0
2026-05-22,2026-05-23T21:02:22.317070+00:00,S1-chopfix,2540.0,0,0.0
2026-05-23,2026-05-24T04:48:17.475867+00:00,S1-baseline,2540.0,0,0.0
2026-05-23,2026-05-24T04:48:17.475867+00:00,S1-chopfix,2540.0,0,0.0
2026-05-24,2026-05-25T05:06:49.609070+00:00,S1-baseline,2540.0,0,0.0
2026-05-24,2026-05-25T05:06:49.609070+00:00,S1-chopfix,2540.0,0,0.0
2026-05-25,2026-05-26T04:46:03.941407+00:00,S1-baseline,2540.0,0,0.0
2026-05-25,2026-05-26T04:46:03.941407+00:00,S1-chopfix,2540.0,0,0.0
2026-05-26,2026-05-27T04:57:04.143582+00:00,S1-baseline,2530.4,0,-0.003778
2026-05-26,2026-05-27T04:57:04.143582+00:00,S1-chopfix,2530.4,0,-0.003778
2026-05-27,2026-05-28T04:51:47.154059+00:00,S1-baseline,2527.82,0,-0.004795
2026-05-27,2026-05-28T04:51:47.154059+00:00,S1-chopfix,2527.82,0,-0.004795
2026-05-28,2026-05-29T04:55:16.529031+00:00,S1-baseline,2523.77,1,-0.006392
2026-05-28,2026-05-29T04:55:16.529031+00:00,S1-chopfix,2523.77,1,-0.006392
2026-05-29,2026-05-30T04:36:11.262935+00:00,S1-baseline,2523.77,1,-0.006392
2026-05-29,2026-05-30T04:36:11.262935+00:00,S1-chopfix,2523.77,1,-0.006392
2026-05-30,2026-05-31T05:05:21.848177+00:00,S1-baseline,2523.77,1,-0.006392
2026-05-30,2026-05-31T05:05:21.848177+00:00,S1-chopfix,2523.77,1,-0.006392
2026-05-31,2026-06-01T05:26:48.174855+00:00,S1-baseline,2523.77,1,-0.006392
2026-05-31,2026-06-01T05:26:48.174855+00:00,S1-chopfix,2523.77,1,-0.006392
2026-06-01,2026-06-02T05:13:46.582251+00:00,S1-baseline,2523.77,1,-0.006392
2026-06-01,2026-06-02T05:13:46.582251+00:00,S1-chopfix,2523.77,1,-0.006392
2026-06-02,2026-06-03T05:28:16.566104+00:00,S1-baseline,2523.77,1,-0.006392
2026-06-02,2026-06-03T05:28:16.566104+00:00,S1-chopfix,2523.77,1,-0.006392
